unique,unique,category (?),category,semicolon-delimited map (i.e. ITEM1: VALUE1; ITEM2: VALUE2; etc…),category,"semicolon-delimited list (i.e. ITEM1, ITEM2, etc…)",semicolon-delimited list,semicolon-delimited list,list_custom1,category,semicolon-delimited list,category,category,string,string
id,productName,formulation,manufacturer,activeIngredients,mattressApplication,labelApplications,labelRestrictions,epaRegisteredLabelClaims,otherReferencedProductAttributes,signalWord,ppe,specimenLabel,safetyDataSheet,labelDate,reference
1,Transport® GHP Insecticide,Water soluble granule,FMC,acetamiprid: 22.73; bifenthrin: 22.27,Y*,Crack and crevice; Spray; Spot treatment; Paint brush; Pin stream application,Do not broadcast; Not sole treatment; No treatment where skin may be contacted,,,Caution,Waterproof gloves,Yes,Yes,8/4/16,1
2,Transport® Micron Insecticide,Emulsified concentrate,FMC,acetamiprid: 5.00; bifenthrin: 6.00,Y*,Crack and crevice; Spray; Spot treatment; Paint brush; Pin stream application,Do not broadcast; Not sole treatment; No treatment where skin may be contacted,,,Caution,Waterproof gloves,Yes,Yes,8/4/16,2
3,CB-80™ Insecticide,Aerosol,FMC,pyrethrins: 0.50; piperonyl butoxide: 4.00,Y*,Crack and crevice; Spot treatment,No treatment of bedding or clothes; Do not broadcast,,,Caution,Long sleeve shirt,Yes,Yes,8/1/16,3
4,Cynoff® Insecticide,Dust,FMC,zeta-cypermethrin: 0.075; piperonyl butoxide: 0.150,N,Crack and crevice; Hand duster; Power duster; Paint brush,"Seven (7) day repeat treatment; Not sole treatment; Do not treat bedding, clothes, or mattress",,,Caution,Long sleeve shirt; Chemical resistant gloves,Yes,Yes,10/14/16,4
5,Suspend® SC,Capsule suspension,Bayer,deltamethrin: 4.75,Y*,Crack and crevice; Direct spray,"Let dry; Do not treat flat or seating areas of furniture where potential skin exposure may occur; After treatment, ventilate for two (2) hours or until no odor; No treatment in hospital or nursing home rooms, if occupied",,,Caution,None,Yes,Yes,none,5
6,Nuvan® Prostrips®,Fumigant,Amvac,"dichlorvos, 16 g: 18.60",Y*,Enclose in room or bag,Treat 100-200 cu. ft. for 48 to 72 hrs; Eggs require seven (7) days of exposure; Label bag remaining in room; Do not let children handle bag or used strips,,,Warning,Wear gloves,Yes,Yes,2014,6
7,Nuvan® Prostrips® + ,Fumigant,Amvac,"dichlorvos, 65 g: 18.60",Y*,Enclose in room or bag,Treat 900 to 1200 cu. ft for 48 to 72 hrs in either bag or room; Seven (7) day exposure in bag for eggs; Label bag or room; Do not let children handle used strip or bags; Not for use in homes - human exposure to be less than 4 hr per day,,,Warning,Wear gloves,Yes,Yes,2014,7
8,Suspend® Polyzone,Suspension concentrate,Bayer,deltamethrin: 4.75,Y*,Crack and crevice; Spot treatment,Twenty-one (21) day re-application; Let surfaces dry; Do not treat furniture with human contact; Dust or fumigate,Residual activity for up to 90 days; Slow release for extra control,,Caution,None,Yes,Yes,none,8
9,Tempo® 1% Dust,Dust,Bayer,cyfluthrin: 1.00,Y*,Dusting and injecting equipment; Voids; Crack and crevice,"Re-apply every 7-10 days; Avoid depositing on exposed surfaces; If powder is applied to a surface, remove through vacuuming after 4-6 hrs; Do not apply in rooms with elderly or infirm",,,Caution,None,Yes,Yes,none,9
